,Comments_youtube
0,"Bawa saja kasus mereka atas penculikan, pembunuhan, teror, kekerasan dan pembuat rusuh di tengah2 masyarakat.. Kasus mereka lbh banyak.."
1,Betuuullll
2,"Bener,  mrk sj se enak jidad bunuh org, guru, murid sekolah ,ojol, blm properti yg dirusak, mrk jelas kriminal, harus di tumpas, jgn kasih kendor, peduli amat HAM"
3,Orang HAM buta bro percuma
4, @P.S  kalo soal bagi gajih matanya sehat lagi wkwk
5," @andre julianus3  lihat negara tetangganya aja, tingkat kriminal parah dan di cap negara tidak aman. Mereka kan masih sodaraan, pasti sifatnya sama. Cuman warga yang masih cinta damai n NKRI memang sepatutnya  yg harus dilindungi dan dipertahankan."
6, @H A  negara sebelah aja g diurus sama HAM Dah males kali PBB ngurus nugini.
7,Jangan peecaya dengan ham atau pbb
8,Betul
9,"Setuju,  betul skali"
10,Mereka memang tujuannya pingin ke internasional biar negara asing yang gak suka ama indonesia pada ikut campur
11,"Tumpas je tu kkb saye pon setuju same pemerintah Indonesia, kita pon mendoakan semoga laskar TNI sehat selalu salam dari Malaysia🇲🇾"
12,Org yg merampas HAM org lain tidak pantas menuntut HAM-nya sendiri. Dah banyak org tak bersalah yg jd korban mereka.
13,YaAllah semoga para TNI selalu dalam lindunganMu
14,Mereka yg berperang dimedan laga adalah jihad yg sesungguhnya...beliau2 ini tidak memperdulikan nyawanya demi keutuhan negeri ini... bravo TNI dan polri semoga kalian selalu ada dalam lindungan Allah SWT...Aamiin
15,"Tidak ada ruang untuk para pengacau kedaulatan di NKRI, bravo TNI & POLRI seluruh rakyat Indonesia mendukung tiap langkahmu"
16,"Apapula yang mau mereka jadikan bahan di pengadilan?  

Lawaknya the next level"
17,"Mereka sampai mengajukan uji materil ke pengadilan Internasional berarti kemampuan intelektual mereka cukup tinggi, berbanding terbalik dg tingkat pendidikan di Papua sprt yg diinfokan media."
18,Semoga Allah Melindungi TNI dan Polri yg bertugas  menumpas KKB
19,Semoga TENTARA NASIONAL INDONESIA selalu berada di bawah lindungan Allah Swt 
20,"Makin terkuak, banyak aktor intelektual dan pihak yang memiliki kepentingan dibalik semua yang terjadi."
21,I love TNI..️️️
22,"Bukti bahwa OPM dikendalikan oleh pihak luar semakin jelas. Pemerintah yang merespon dengan upaya persuasif, peningkatan kesejahteraan dan sabar ternyata tidak membuat OPM sadar. Tentu rakyat lebih memilih menjadi bagian Indonesia karena banyak enaknya. "
23,Inilah fungsinya sekolah.biar otak gak kelewat pinter.
24,"Doakan semoga Allah tidak murka di tanah papua.. 
Seperti tsunami di Aceh"
25,"Buat netijen2 indo, klo pbb sama ausie koar2 soal HAM jgn lupa diserang ya guys "
26,"YA ALLAH LINDUNGI PARA TNI KAMI DI SITU, AAMIIN"
27,Sapu Bersih tanpa sisa!!!! BRAVO TNI/POLRI!!!
28,"Selamat berjuang TNI Polri pertahankan NKRI kita , smoga selalu dlm lindungan Tuhan , semangat dqn berjaryalah ,️️"
29,mending kedua piha ini (TNI & KKB) di fasilitasi diterjunkan di miramar gitu battle royale
30,Siapa di sini yg siap membatu mengamankan negara ini  ️️
31,TNI Polri semangat  NKRI harga mati 
32,"Ayo Pasukan Setan, babat habis OPM. Kami mendukungmu!"
33,"Mau di bawa ke internasional, pasti cucunguk Amrik nih bakingannya"
34,"Allahu akbar...Pemerintah wajib memberantas perusuh di negeri ini.
bravo polri dan Tni"
35,"hanya bantu doa.. semoga TNI Polri selalu dalam lindunganNYA.. berangkat 400 pulang 400 dengan selamat.
yg memang dr dulu sdh bertugas di papua semua juga diberi keselamatan lahir batin. aamiin."
36,kelakuan menjelaskan profesi. Mantab...
37,"Gini aja , dirudal aja tempat mereka kan enak :)"
38,"Gk perlu ke mahkamah internasional. Tni - polri lebih tau apa yg hrus mreka lakukan. Bravo TNI,. Bravo polri"
39,Pertanyaannya. Kenapa mereka bisa memiliki senjati api lengkap?
40,Habisi saja jangan menyerah. Ini demi keamanan negara smga para soldiers kita selamat sampai rumah masing2.
41,2:38 Potret Perjuangan Indonesia di Tahun 1945 :v
42,Semua Rakyat Indonesia harus bersatu melawan segala bentuk kejahatan di Negara Indonesia yang kita cintai doa selalu buat TNI-POLRI
43,"Bawa saja ke pengadilan internasional. Sudah banyak bukti kejahatan yang mereka lakukan, susah ladenin orang seperti mereka karena pendidikan mereka kurang makanya mereka seperti itu..."
44,"Diajak dialog makin ngelunjak, dimanjain makin ngelawan, air susu dibalas dengan air terjun ini namanya.   
Semoga ada tindakan tegas, KERAS dan terukur, bukan tindakan yg nanggung2 yg hanya menimbulkan TNI polri berguguran."
45,"Hati2 di cari densus 88 kesemua yang terlibat sampai yang diluar negeri, mulai panik tuh 
joss TNI POLRI "
46,"Sedih nya pemerintah indonesia, kkb mempertahankan keasrian tanah mereka dan pemerintah sekuat tenaga untuk memajukan bisnis dengan asing tanpa melihat masyarakat nya senditi"
47,SEMANGAT BARET MERAH!!! KOMANDO!!!
48,"MAJU TERUS TNI POLRI DAN SEMUA JAJARAN PENGAMAN KEDAULATAN NKRI !!!
Kami rakyat Indonesia mendukungmu "
49,"Orang Papua benci kita, kita yang salah bertindak. "
50,Baguslah mereka(KKB) berteriak  jadi mudah untuk menumpasnya ️agar warga lekas aman dan nyaman hidup di NKRI ️️
51,Kedaulatan NKRI harga mati
52,mantappppp
53,ga perlu pake negosiasi kompromi sama kkb.. sikat habis !!! bantai!!
54,Mereka bawa ke pengadilan internasional = Menyerahkan diri wkwk
55,Entahlah ... saya yakin Indonesia sedang tidak baik-baik saja...
56,"Seep, klo dibiarin makin tengil.
Smoga Allah melindungi para prajurit yg ingin memberangus para teroris perusak kedamaian dibumi pertiwi. Amien~
Biarkan KKB atau kutu busuk lainnya merasakan pedihnya diburu para prajurit terlatih."
57,HIDUP NKRI ️
58,"penjahat tak mau dibilang jahat.
ohh indahnya negeri dongeng"
59,Mantap
60,"Sudah declared, bukan lagi kelompok kriminal. Selamat berburu deh buat TNI. Hoist the flag upwards 🇮🇩"
61,Semoga ada kebaikan  Indonesia jgn terpecah belah.
62,Bukan tidak mungkin suatu saat KKB akan menyerang Jakarta 
63,Teroris minta ke pengadilan Internasional kurang akal kali yak?
64,"Hati2 dlm mengambil langkah dan keputusan, jangan sampai ada  pelanggaran HAM sehingga  nantinya di pengadilan internasional Papua bisa lepas dari Indonesia karena adanya pelanggaran HAM oleh pihak TNI polri, dan asing Aseng leluasa mengeruk SDA Papua sampai habis."
65,Doakan Keselamatan bagi TNI dan Polri yang sedang Berjihad membela Negara dan melindungi rakyat.
66,"Bakar sekolah,membunuh warga sipil. Gamau dianggap teroris?gajelas bat dah. Binasakan pimpinannya opm supaya gaada yang menggerakan"
67,"KKB mah pionnya aja, yang ngajak main sampe pengadilan internasional biasanya intelektual yang main dibelakang layar"
68,Wkwkwk uji materi 
69,"Lindungi para TNI ya allah, TUSTASKAN PARA PEMECAH BANGSA!!!!"
70,TNI polri' tak bleh gentar doaku menyertaimu semangat bapak TNI polri semoga dalam lindungan Alloh amin
71,Ayo kita dukung Densus 88 agar diturunkan ke Papua.
72,Tidak akan ada ke PBB yang hrs di tanggapi tembak geremblolan KKB.jaya lah TNI maju terus jangan dengarkan alasan apapun.
73,Andalan banget internasional 
74,"Kkb : aku mau nyerang tapi kamu jangan balas serius ya 
NKRI : ""kkb ditetapkan sebagai teroris""
Kkb : lah kok serius maennya Jan gitu dong"
75,"KALAU NGOTOT TERUS KKB MAU PERANG...JGN TUNGGU LAMA""KITA SAPU BERSIH SAJA DARI PADA JADI VIRUS NEGARA..🇮🇩🇮🇩🇮🇩🇮🇩"
76,Lanjutkan PRAJURIT ...sikat habis KKB ....
77,"Mending beneran bawa ke pengadilan internasional sekalian, biar divonis bersalah dan lbh mudah diberantas"
78,BRAVO TNI ..LIBASEN PAK..OJO TEBANG PILIH.. DEMI KEPERCAYAAN MASYARAKAT ️️️
79,Polisi aja yg turun. Yg pangkatnya gede kalo bisa suruh turun semua. Wkwkwkwk
80,"ada wayang biasanya 
ada dalange juga,
""NKRI""harga  Mati!!"
81,Sangat setuju sekali dgn pengiriman pasukan terbaik TNI dan Polri utk menghabiskan para pengkhianat bangsa demi keutuhan NKRI. Semoga pasukan terbaik TNI dan Polri yg berjuang di Papua selalu dlm lindungan Allah SWT serta kembali dgn selamat dan kemenangan mutlak... aamiin
82,"Udah gampang , mereka berani tampil di sidang internasional tinggal ciduk aja disitu apalagi clear . Jika ada yg dukung mreka kita sadar siapa-siapa di balik mereka jelas kita tau siapa musuh kita"
83,"Lah emang teroris kok kenapa ga mau di cap teroris? Membunuh orang tak bersalah, membakar tempat ibadah apa ga namanya teroris?"
84,"TNI dibunuh tidak dianggap sama HAM, karena sama2 bersenjata. Tapi warga sipil tak bersenjata dihajar."
85,"Yg mengganggu keamanan nasional dibersihkan saja..jgn sampai lolos,,bravo TNI dan POLRI"
86,Coba kalian masuk grup opm Facebook. Banyak banget lawakannya
87,"KKB jelas melawan pemerintah yang sah...

Basmi Tuntas KKB"
88,"Tolonglahh..kkb jangan jadi penjahat dinegeri sendiri, membunuh saudara sendiri, menghancurkan tempat lahir mereka sendiri yaitu papua,,, semangat buat saudaraku yaitu orang orang papua disana.. semoga kalian disana selalu sehat"
89,"Inilah pentingnya sekolah. Malah libur 2taun.
Wajar sih kalo Indonesia diobrak abrik."
90,ngumpulin orang yg nungguin drone kamera pengintai TNI
91,"Kalau ingin ke Pengadilan Internasional, yang mendukung mereka dan register mereka di Pengadilan Internasional apa dan siapa?"
92,Smga Papua bisa merdeka 🇵🇬🇵🇬🇵🇬
93,God bless you TNI
94,Media sosial dan instansi pemerintah yg ada di papua harus bereran aktif memberikan penyuluhan kepada semua generasi yg ada di papua
95,Semoga TNI POLRI selalu dalam lindungan Allah SWT dalam mengemban Tugas negara...
96,kami segenap member NME esport siap membasmi KKB di pochinki
97,"Yang saya khawatirkan papua lepas dari NKRI, yang sya khawatirkan ini adalah jebakan rakyat papua, awalnya mereka pro NKRI sedangkan OPM terus gencar melakukan teror, nah mereka menunggu agresifitas pemerintah, setelah itu mereka membelot secara massal, karena mereka merasa mempunyai alasan untuk mengadu ke pengadilan internasional dengan dalih HAM"
98,"Setiap yg tertindas pasti ada perlawanan,siapa yg fiuntungkan?"
99,"yg bisa pake santen gasken wkwk.. santet seluruh pasukan kkb , supaya TNI selamat "
100,Semoga semua dalam lindungan Tuhan  TNI dan POLRI Demi NKRI tercinta kami slalu mendoakan kalian semoga slamat dalam pertempuran Amin.. Ya Allah
101,"Rudal , tank , jet tempur , helikopter , senjata berat lainnya TURUNKAN"
102,"Sebenarnya sekali sisir itu kkb udah rata, berpikir aja siapa dibalik penyedia senjata senjata mereka, Wallahu A’lam"
103,buat D O M dipapua sebab memang harusnya begitu...NKRI harga mati
104,Bpk Mahmud Md benar2 bijaksana dan harus tindak dgn tegas tdk usah bosa basi!
105,"Sudah waktunya negara bertindak tegas supaya harga diri bangsa tidak di injak², selamat bertugas para prajurit TNI-POLRI semoga tugas mulia demi kedaulatan bangsa Indonesia ini selalu dalam lindungan Tuhan yang maha esa dan di beri kemudahan..."
106,"Kalau begitu kirim dong Densus 88 yang tugasnya nangkap teroris, jangan cuma taunya nagkap Ulamah dan umat muslim saja tuh Densus 88"
107,"Kocak emang KKB.... Nggak mau dipanggil teroris tapi banyak menimbulkan teror ke masyarakat yg gk salah, seperti sering membakar pesawat2 sipil disana dan mengancam orang2 disana."
108,Semoga tidak ada prajurit yang gugur
109,"Adakah dari Komnas Ham melaporkan Kkb ke mahkamah Internasional, klo ga ada Ham nya Hamlakong."
110,Semoga saudara2 yg ada dipapua aman damai bersama TNI /POLRI n selalu mendukung pemerintah  didalm mengamankn NKRI kususx dipapua
111,"Lebih cepat lebih baik,,mereka semakin melunjak...mereka berani karna ada dukungan asing saya curiga terhadap amerika karna ada kepengan besar nya di sana...🇮🇩 harus  dan tetap waspada"
112,Semoga TNI di beri kemudahan dlm menumpas kkb opm yg sadis
113,Minta bantuan titan biar lebih mudah kalahkan kkb
114,"Sudah 10th masalah GPK,OPM dan KKB belum tuntas,kini saatnya Pemeritah Indonesia memberantas penghambat pembangunan di Provinsi Papua dengan cara menangkap semua Anggota KKB dan pendukungnya untuk kemudian diproses sesuai dengan UUD yang berlaku di Negara Kesatuan Republik Indonesia."
115,Tinggal ke pengadilan internasional kita habisi sampai ke akar-akarnya.  Bravo tni polri
116,"Mereka memberontak tentu ada sesuatu yg ingin di lindunginya..

Apa pemerintah pernah melihat sisi dalam dari mereka yg memberontak(isi sendiri )"
117,"Gua kira nantang perang terbuka, eh ke pengadilan "
118,"Pengiriman pasukan TNI polri ke Papua adalah untuk melindungi masyarakat Papua, agar perekonomian dan aktifitas penting lainnya tidak terganggu, masyarakat Papua harus mendukung penuh aparat yang bertugas disana"
119,"Sudah terlalu banyak rakyat/masyrakat indonesia, terutama di papua  yg tidak hafal PANCASILA dn paham tentang BINEKA TUNGGAL IKA...sehingga untuk rasa memiliki NKRI jauh berbeda di jaman Orde Baru... # tidak ada teroris di jaman Orde Baru ini yg perlu pemerintah ciplak #"
120,"Dikasihani tapi gak mikir sama sekali !!  Kirain gk peduli, giliran dicap malah kek gitu! Semngat bapak TNI dan POLRI semngat untuk NKRI"
121,"Memang sudah saatnya mereka di basmi sampai Tuntas..
Agar saudara saudara kita warga Papua tenang dan Damai dalam beraktivitas..
Jangan sampai ada yang tersisa"
122,Bravo maju terus sukses KKB
123,"""Siap mengajukan uji materi ke pengadilan internasional"" PRETT! Emng iya kok teroris sudah selayaknya di cap sebagai teroris bkin rusuh masyarakat bkin ga aman memecah belah bangsa"
124,"Jangan dibantai merek saudara kita 
yang harus dibasmi itu pendoktrin, motor penggerak dan sumber dana nya. jangan mau saling membunuh sesama anak bangsa"
125,"    dikit2 PBB, Klu mereka bunuh guru,TNI,POLRI dan Masyakarat yg tak berdosa mereka ketawa..."
126,"Lucuuuu bgt
Kill them all(opm)"
127,"Sudah baik langkah pemerintah, kalo perlu pakai kekuatan penuh,... Krna ini hanya segelintir orang2. ... Saya suka kepemimpinan soeharto cara membasmi    org2 ini. Kepung Dan bumi hanguskan"
128,"Turunin tank, artileri, dan pesawat tempur... Rata dah"
129,"Brafo TNI POLRI..... Jangan kasih kendor untk para teroris....
Smg TNI POLRI yg bertugas d papua dlm lindungan Allah swt.... Aamiin"
130,"Kalo udh di anggap sebagai teroris ya basmi dan tumpas sampai habis, semoga bpk2 TNI dan POLRI yg bertugas disana tuk basmi KKB, slalu dlm lindungan yg Maha Kuasa."
131,Mahmud mencreeeettt
132,NKRI HARGA MATI !!!
133,TNI jangan takut sama HAM internasional KKB ajh Sudah Melanggar HAM Membunuh Warga sipil yang tak bersalah dengan Sadis Ratakan KKB sampai ke Akarnya Bravo TNI NKRI Harga Mati
134,"Yg nyerang siapa, yg ngelapor siapa..manja amat lo KaKaBe"
135,Hanya doa yg bisa kami bantukan untuk bpk TNI POLRI semoga kesehatan dan keselematan selalu bersama kalian semua aminx3
136,"Hati-hati ini jamannnya Joe Biden, bisa jadi perpecahan papua"
137,Kami ada di belakang mu TNI
138,bravo TNI polri
139,D negara manapun d dlm suatu negara ada pengacau pasti d brantas?maju terus TNI/polri
140,Belum tamat TK nih KKB. arti terorisme aja nggak tau. Sedangkan KKB aja udah ngebunuh orang yang tidak bersalah.
141,"Berarti dulu saat indonesia dijajah belanda,,belanda juga menyebut kalau kelompok militer indonesia juga teroris kah??"
142,"Setan memang tidak tahu arti bersyukur, jadi setan itu musuh yg nyata ,setan bukan terorislgi ,setan itu ,setiap saat berbahaya ."
143,"Gsk usah di ladeni oleh pihak NKRI, 
Abaikan saja, karena kkb memang pengacau keamanan.
Lanjut dan tenggelamkan kkb"
144,Semoga pasukan tni gk ada korban
145,Saya dari malaysia mendo'a kan kesejahteraan indonesia amin...
146,Pak Mahfud ajak kepapua  .. perang
147,"Kalau jadi di Up ke pengadilan internasional, kira2 bisa nebak ga ni ""super hero"" mana yang siap ikut (campur) ngebelain?"
148,Pantes lah di cap teoris orng bunuh yang gk berslah gitu
149,"KKB pantas dijuluki manusiasetan ,otaksetan wujud manusia,manusiasetan"
150,",TNI ,polri keren bgt ,sedih ya berjuang demi bangsa nyawa taruhanya . Semoga Tuhan melindungimu"
151,"Ngawur.
Good job pemerintah indo, mereka hanya teroris yg takut dianggap teroris wkwkw"
152,Yah si segawan lanang ( mpud ) ada lagi 
153,Kalo papua mau merdeka pasti ada bantuanya dari negri tetangga yang sama mengeruk kekayaan timor leste
154,KKB Memang teroris lucunya pemerintah juga mencap ulama Teroris ..
155,Serasa mau bantu negara untuk membasmi para pelanggar negara semangat TNI / POLRI
156,Jangan gegabah menyerbu markas.KKB dan OPM krena mereka sudah matang dalam menantang para prajurit
157,"* GAM: gerakan Aceh merdeka udah lama Bertaubah & Kembali ke NKRI yg kita cintai
* KKB singkatan dari: Kami Kan Binatang  ga tau Baik & Buruk, Jadi mn bisa taubat "
158,Adakan pendaftaran TNI untuk menggempur pengganggu keamanan NKRI di Papua.
159,Sapu bersih klu bisa sampai kerak keraknya.. Jgn pedulikan ham apalah
160,Mana ada teroris mengaku teroris. Sudah nyata nyata membunuh masyarakat..
161,Setelah kalian membunuh Anggota TNI tapi kalian sok paling di aniaya 
162,"Pengadilan International tidak akan ikut campur . ini  sudah mengancam keamanan negara. 1 jendral kami sudah gugur ,tunggu ya disana TNI&POLRI sedang otw"
163,"Dibelakang ini asing yang bermain ...makanya tetap berani dan eksis...NKRI harga mati..
Ga ush peduli istilah HAM"
164,"Iyah lah mereka adalah pejuang kemerdekaan menurut mereka, mana mau disebut teroris, keputusan konyol"
165,"Pokoknya tumpas habis bagi siapa saja yg menganggu kedaulatan NKRI,,jangan kasih ampun,, bravo TNI/polri"
166,"Cuma kasih saran doang,kalo salah maaf deh
Sadarlah wahai opm,belajarlah dari sejarah,kalian itu cuma dimanfaatin oleh segelintir oknum dgn janji2.kalian yg berjuang dan hasil- yg kalian anggap - perjuangan  org lain yg nikmatin,belajarlah dr sejarah !!!"
167,"Kalau susah diserang lewat darat, dibom aja dengan bom cluster, sekalian rumah aktivis  HAM diledakkan."
168,"Hajar, jgn ksh kendor....."
169,"Hati hati pemerintah,ini sungguh mengerikan,Papua ada kekayaan Indonesia,jika hilang sudah lah emas kita hilang"
170,"DiPapua TNI POLRI bekerja,  di Internasional Intelijen Interpol juga harus berkerja menangkap pentolan KKB KST"
171,"hanya demi ada yg ingin menguasai SDA di Papua, sampe seperti ini"
172,Kasih perwakilan kkb memperlihatkan mukanya tembak langsung
173,Basmi sampai ke akar-akarnya  kami siap mendukung TNI
174,Kkb gapaham hukum internasional nih wkwkk tp gpp coba aja diajukan ke mahkamah intrrnasional
175,negara ini di bangun susah payah oleh pendahulu sudah sewajibnya kita sebgai rakyat harus mempertahankan kedaulatan dari apapun yg mengacam keselamatan negara...BRAVO TNI POLRI
176,Pulau Emas tidak akan pernah damai
177,Opm tuh super linglung....pake uji materi segala...berarti mereka mengakui sebagai bagian dari NKRI....
178,Menylelarakan rakyat
179,Beri refrendum biar masayarakat papua sadar kalau 60 %  org papua masih pro NKRI...
180,Hancurkan dan ratakan kkb titik....jaga persatuan indonesia ..bravoTNI DAN POLRI ️
181,"OPM ini emang kalian dibentuk untuk tujuan tanah papua atau siapa? kalian sendiri yg menyerang warga warga papua, membuat warga papua merasa terteror.. betullah kalian teroris"
182,"KKB sulit ditumpas karena diback up oleh PBB dengan alasan HAM,"
183,"Sudah saya bilang, dulu harusnya contoh USA, basmi, baru duduki. Lah kita enggak ... malah beramah tamah, berkembang biak kan mereka."
